% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
439289 +2.507823043e+00 +2.507823043e+00 -5.439921770e+02 -5.439921770e+02 -1.9412e+00 +1.1772e+00 +8.9198e-01 +7.3366e-01 +1.8968e+00 -2.9894e-01 -2.8078e-02 +1.9202e+00 -4.7355e-01 +2.4260e+00 +1.9737e+00 +1.4679e+00 +1.0232e+00 -2.4190e+00 +8.6303e-01 -2.3197e+00 +1.0109e+00 -2.4206e+00 -1.6182e+00 +1.6076e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.539836063e+05 +1.539836063e+05 +1.549836063e+05 +1.549836063e+05 +1.1132e+00 +8.4100e-02 +1.2867e+00 +4.7768e+00 +4.1461e+00 +1.4333e+00 +1.7680e+00 -1.6558e+00 -2.1522e+00 -2.9383e-01 -2.7384e-01 -4.2311e-01 -1.3233e+00 -1.9410e+00 -3.5963e+00 +4.4641e+00 +2.6302e+00 +4.9087e-01 -1.0039e-01 +3.3062e+00
38 +6.865606653e+04 +6.865606653e+04 +6.965606653e+04 +6.965606653e+04 -1.8408e+00 +6.6629e-01 +4.2105e+00 +7.5314e-01 +2.1195e+00 +3.7703e+00 +2.5506e+00 +2.9708e+00 +3.4392e+00 -1.0298e+00 +1.0975e-01 +2.0594e+00 -2.9979e+00 +1.7793e+00 -2.2872e+00 -2.6836e+00 +3.4947e+00 -4.8117e+00 +1.5221e-01 +3.0003e+00
80 +6.101747848e+04 +6.101747848e+04 +6.201747848e+04 +6.201747848e+04 -2.3437e-01 +4.2888e+00 +1.8842e+00 -3.3109e+00 +4.5946e+00 +8.6760e-01 -2.8448e+00 -3.3297e+00 +4.1902e-01 +2.8481e+00 -2.1336e+00 -4.6664e+00 -4.0337e+00 +1.1114e+00 -1.3384e+00 +3.2687e-01 -2.6623e+00 -2.0580e+00 -3.3729e+00 +3.8039e+00
81 +2.497397164e+04 +2.497397164e+04 +2.597397164e+04 +2.597397164e+04 -7.2324e-01 -1.4567e+00 +3.9923e+00 -2.4978e+00 -4.0110e-01 +6.0450e-01 +2.8237e+00 +2.5373e+00 -4.0287e+00 +3.2822e+00 -2.5936e+00 -3.2858e-01 -2.4796e+00 -4.0243e+00 +1.0792e+00 -2.8511e+00 -1.2099e+00 -1.8036e+00 -8.6512e-01 +1.0997e+00
461 +1.254048422e+04 +1.254048422e+04 +1.354048422e+04 +1.354048422e+04 +3.2927e-01 +2.8167e+00 +2.2834e+00 -2.9821e+00 +2.7122e+00 -3.1651e+00 +6.2792e-01 +1.1527e-01 +1.1456e+00 -9.4918e-01 -2.4250e+00 -1.4612e+00 -8.2549e-01 -7.5955e-01 -2.2313e+00 -5.7072e-02 -6.6387e-01 -3.5160e-01 -8.5636e-01 +3.3418e+00
1234 +7.817305969e+03 +7.817305969e+03 +8.817305969e+03 +8.817305969e+03 +5.2335e+00 -4.0531e-01 +4.1421e+00 -3.9921e+00 -2.0948e+00 -9.8024e-02 -1.5619e+00 -1.6131e+00 -3.6729e+00 +9.7478e-01 -1.7935e+00 -1.7005e+00 -1.4489e+00 -9.8972e-01 -1.0185e+00 -9.0529e-01 -8.5057e-01 -1.5331e+00 -1.1033e+00 +1.1474e+00
1284 +5.965849712e+03 +5.965849712e+03 +6.965849712e+03 +6.965849712e+03 +5.5908e-01 -6.0427e-01 +1.2245e+00 +7.8074e-01 +8.1413e-01 +7.7964e-01 +4.0442e-01 +3.7712e+00 -6.1055e-01 -1.0122e+00 +9.4265e-01 -2.2329e+00 -1.9905e+00 -1.5465e-02 -2.1168e-01 +1.2617e-01 -3.0142e-01 -3.3298e+00 -6.8330e-01 +2.0742e+00
1496 +3.453938824e+03 +3.453938824e+03 +4.453938824e+03 +4.453938824e+03 +2.2888e+00 +3.2892e+00 +9.2971e-01 -1.2501e+00 +1.1095e+00 -9.1610e-02 -1.8445e+00 +1.3013e+00 -6.5722e-01 -2.3640e+00 -1.5149e+00 -2.1813e+00 +6.8128e-02 -1.8630e+00 +4.1293e-01 -2.3603e-03 -5.8325e-01 -7.0465e-01 -5.5449e-01 +1.0123e+00
