% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8521 +2.511548671e+00 +2.511548671e+00 +9.545154867e+01 +9.545154867e+01 +2.4544e-01 +3.8833e-01 -2.1484e-01 +2.9199e+00 +2.6545e+00 +3.9283e+00 +1.8115e+00 -2.4137e+00 +4.1386e+00 +1.9314e+00 +2.4185e+00 -4.0767e+00 -1.6248e+00 +6.4495e-01 +1.7804e+00 +2.6826e+00 +3.3180e+00 -3.1631e+00 +2.6643e+00 +1.3555e+00
8985 +1.528074793e+00 +1.528074793e+00 +9.446807479e+01 +9.446807479e+01 +1.1718e-01 +3.2566e-01 -1.0321e-01 +2.9855e+00 +2.5322e+00 +3.8731e+00 +1.6562e+00 -2.4683e+00 +4.2897e+00 +2.0107e+00 +2.3924e+00 -4.1156e+00 -1.5979e+00 +7.1112e-01 +1.7984e+00 +2.7434e+00 +3.2480e+00 -3.1423e+00 +2.6798e+00 +1.4137e+00
41567 +9.648497833e-01 +9.648497833e-01 +9.390484978e+01 +9.390484978e+01 -3.0995e-01 +5.3848e-01 +1.9229e-01 +3.1208e+00 +2.3332e+00 +4.0317e+00 +1.5595e+00 -2.0509e+00 +3.8638e+00 +2.2316e+00 +1.4934e+00 -3.5373e+00 -1.2176e+00 +9.5476e-01 +1.3372e+00 +2.5705e+00 +3.9410e+00 -3.0419e+00 +2.6148e+00 +8.3920e-01
41831 +6.034278487e-01 +6.034278487e-01 +9.354342785e+01 +9.354342785e+01 -4.6788e-01 +4.8316e-01 +2.3558e-01 +3.0164e+00 +2.3987e+00 +3.8851e+00 +1.6435e+00 -2.1679e+00 +4.2193e+00 +2.1286e+00 +1.5091e+00 -3.5776e+00 -1.1365e+00 +9.3804e-01 +1.3363e+00 +2.6758e+00 +3.8064e+00 -3.0172e+00 +2.6698e+00 +8.8429e-01
42386 +3.977495944e-01 +3.977495944e-01 +9.333774959e+01 +9.333774959e+01 -4.4061e-01 +5.4530e-01 +1.7298e-01 +3.0398e+00 +2.3494e+00 +3.8267e+00 +1.6728e+00 -2.3056e+00 +4.1736e+00 +2.1226e+00 +1.4010e+00 -3.5753e+00 -1.1365e+00 +8.7843e-01 +1.3105e+00 +2.6391e+00 +3.8675e+00 -3.0070e+00 +2.5656e+00 +8.0057e-01
688290 +2.338659013e-01 +2.338659013e-01 +9.317386590e+01 +9.317386590e+01 -1.1037e-01 +8.2365e-01 +2.7694e-01 +3.0786e+00 +2.3436e+00 +3.8254e+00 +1.6733e+00 -2.4755e+00 +3.9343e+00 +2.1675e+00 +1.8352e+00 -3.7423e+00 -1.6024e+00 +5.7889e-01 +1.3914e+00 +2.6769e+00 +3.7035e+00 -3.1838e+00 +2.5220e+00 +5.4220e-01
688599 +1.351888345e-01 +1.351888345e-01 +9.307518883e+01 +9.307518883e+01 -2.0362e-01 +7.5460e-01 +2.9349e-01 +3.0568e+00 +2.3734e+00 +3.8757e+00 +1.5956e+00 -2.5224e+00 +3.9831e+00 +2.1213e+00 +1.7625e+00 -3.7306e+00 -1.5185e+00 +6.0991e-01 +1.3254e+00 +2.8005e+00 +3.7010e+00 -3.0481e+00 +2.6544e+00 +6.4149e-01
688638 +6.765371985e-02 +6.765371985e-02 +9.300765372e+01 +9.300765372e+01 -2.0320e-01 +6.8938e-01 +3.0188e-01 +3.1160e+00 +2.3797e+00 +3.8737e+00 +1.5936e+00 -2.5014e+00 +3.9127e+00 +2.0889e+00 +1.7244e+00 -3.7035e+00 -1.5638e+00 +5.5278e-01 +1.3374e+00 +2.8256e+00 +3.6772e+00 -2.9995e+00 +2.6237e+00 +5.7612e-01
688742 +5.515646492e-02 +5.515646492e-02 +9.299515646e+01 +9.299515646e+01 -2.5048e-01 +7.4485e-01 +3.1782e-01 +3.0545e+00 +2.3856e+00 +3.8658e+00 +1.6237e+00 -2.4610e+00 +3.9382e+00 +2.1421e+00 +1.6962e+00 -3.7544e+00 -1.4936e+00 +6.2845e-01 +1.3131e+00 +2.7903e+00 +3.7027e+00 -3.0668e+00 +2.6157e+00 +5.9662e-01
689020 +3.615152674e-02 +3.615152674e-02 +9.297615153e+01 +9.297615153e+01 -2.5838e-01 +7.2602e-01 +2.8365e-01 +3.1173e+00 +2.3829e+00 +3.8303e+00 +1.6613e+00 -2.4730e+00 +3.8852e+00 +2.1626e+00 +1.6905e+00 -3.7702e+00 -1.5316e+00 +5.9404e-01 +1.2482e+00 +2.8184e+00 +3.7210e+00 -3.0315e+00 +2.5807e+00 +6.4287e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.571864354e+03 +2.571864354e+03 +2.607214354e+03 +2.607214354e+03 +4.2203e-01 +1.0722e+00 +3.3509e+00 +3.4475e+00 +1.4539e+00 -1.2184e+00 +3.5593e+00 -2.4728e+00 -9.2814e-01 +3.6163e+00 +3.2328e+00 -3.1855e+00 -2.0824e+00 -7.7369e-01 -6.5921e-01 -1.4519e+00 -1.0056e+00 -2.7794e+00 +1.5394e+00 +1.2106e+00
12 +2.351492862e+03 +2.351492862e+03 +2.386842862e+03 +2.386842862e+03 +1.8593e+00 -1.0503e-01 +3.8059e+00 +4.8211e+00 +2.3049e+00 -1.1826e+00 +4.1270e+00 -3.3604e+00 -1.0440e+00 +4.4431e+00 +6.1199e+00 -5.6958e+00 -1.8469e+00 +2.9703e+00 -2.5683e+00 -2.1662e+00 -1.7438e-01 -7.2284e+00 +3.5750e+00 +7.0160e-01
