% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.124401772e+02 +3.124401772e+02 -1.496498228e+02 -1.496498228e+02 +2.5785e+00 -2.9971e+00 -2.2750e+00
7 +4.084040201e+01 +4.084040201e+01 -4.212495980e+02 -4.212495980e+02 +1.3315e+00 +5.9783e-01 +1.7581e+00
69 +3.832278911e+01 +3.832278911e+01 -4.237672109e+02 -4.237672109e+02 +2.1845e+00 -5.5813e-01 +1.8471e+00
156 +2.285860116e+01 +2.285860116e+01 -4.392313988e+02 -4.392313988e+02 +5.8242e-01 +3.3479e+00 +1.2761e+00
185 +1.161724530e+01 +1.161724530e+01 -4.504727547e+02 -4.504727547e+02 +2.2490e+00 +1.1830e+00 +1.5039e+00
294 +7.183378346e+00 +7.183378346e+00 -4.549066217e+02 -4.549066217e+02 +1.3346e+00 +2.8161e+00 +1.5481e+00
305 +6.002696240e+00 +6.002696240e+00 -4.560873038e+02 -4.560873038e+02 +2.5356e+00 +2.3433e+00 +2.1937e+00
362 +2.637462492e+00 +2.637462492e+00 -4.594525375e+02 -4.594525375e+02 +2.3219e+00 +2.2589e+00 +1.8917e+00
469 +2.321623377e+00 +2.321623377e+00 -4.597683766e+02 -4.597683766e+02 +1.3346e+00 +2.2911e+00 +1.8939e+00
811 +1.435812800e+00 +1.435812800e+00 -4.606541872e+02 -4.606541872e+02 +1.3192e+00 +2.3134e+00 +2.2142e+00
1040 +5.971117273e-01 +5.971117273e-01 -4.614928883e+02 -4.614928883e+02 +2.3078e+00 +2.3027e+00 +2.2003e+00
1096 +3.880832376e-01 +3.880832376e-01 -4.617019168e+02 -4.617019168e+02 +2.3078e+00 +2.3027e+00 +2.2043e+00
1177 +8.613165362e-02 +8.613165362e-02 -4.620038683e+02 -4.620038683e+02 +2.3216e+00 +2.3030e+00 +2.2115e+00
1383 +4.612699097e-02 +4.612699097e-02 -4.620438730e+02 -4.620438730e+02 +2.3345e+00 +2.2970e+00 +2.2099e+00
1398 +2.495882248e-02 +2.495882248e-02 -4.620650412e+02 -4.620650412e+02 +2.3328e+00 +2.2991e+00 +2.2109e+00
1488 +1.599622819e-04 +1.599622819e-04 -4.620898400e+02 -4.620898400e+02 +2.3409e+00 +2.3003e+00 +2.2135e+00
1606 +9.620005801e-05 +9.620005801e-05 -4.620899038e+02 -4.620899038e+02 +2.3403e+00 +2.3001e+00 +2.2135e+00
1873 +2.157175322e-05 +2.157175322e-05 -4.620899784e+02 -4.620899784e+02 +2.3405e+00 +2.3001e+00 +2.2136e+00
