% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
47 +2.292602711e+01 +2.292602711e+01 +9.461602711e+01 +9.461602711e+01 +4.8028e+00 +1.9562e+00 +2.6618e+00 +1.1175e+00 +2.5155e+00 +6.4852e-01 +6.6862e-01 -2.8170e+00 -6.3694e-01 -4.2842e+00 +3.4693e+00 -3.8397e+00 -1.7716e+00 -1.6641e+00 +7.6296e-01 +1.6936e+00 -1.8134e+00 +1.8374e+00 +2.1153e+00 +1.3769e+00
101 +1.360910323e+01 +1.360910323e+01 +8.529910323e+01 +8.529910323e+01 -2.2193e-01 -3.3564e+00 +3.6030e+00 -2.9107e+00 -2.1933e+00 +2.2811e+00 -1.6040e+00 +1.5916e+00 -4.4236e-01 +7.6296e-02 -1.6019e+00 -2.7268e+00 -3.4656e+00 -1.5351e+00 +1.4393e+00 +2.9877e+00 +1.8773e+00 -1.0130e-03 -3.0396e+00 -2.3628e+00
809 +8.412623512e+00 +8.412623512e+00 +8.010262351e+01 +8.010262351e+01 -1.5134e+00 -2.0089e+00 +1.4770e-01 +9.2999e-01 -9.3365e-01 +3.8590e-01 +2.9359e+00 +2.7475e-01 -7.9859e-01 +7.4307e-01 +4.9492e-01 -6.3454e-01 -4.5487e-01 +1.8080e-01 +8.0861e-01 -8.5642e-01 +3.1424e-01 +7.3068e-01 -1.4133e+00 -6.2537e-01
3648 +6.305399075e+00 +6.305399075e+00 +7.799539908e+01 +7.799539908e+01 +9.6358e-01 -3.8746e-01 +2.5112e+00 -5.4663e-01 +1.2447e+00 +1.1360e+00 +9.8203e-01 -3.0822e+00 -1.6757e+00 -8.3904e-01 +2.0988e+00 +2.7518e-01 -2.1171e+00 +1.3020e+00 +1.1265e+00 -8.7093e-01 -9.8231e-01 -3.7193e-01 +1.0350e+00 -7.0217e-01
37201 +3.300671452e+00 +3.300671452e+00 +7.499067145e+01 +7.499067145e+01 +3.8542e-01 -5.7050e-01 +5.4278e-01 +2.1772e-01 +1.5560e+00 -2.0785e-01 +4.3304e-01 -2.2601e-01 +3.0164e-01 -4.2827e-01 -3.3490e-02 -1.6283e-01 +4.0798e-01 +4.9880e-01 +9.7514e-01 +3.4280e-01 +1.2196e+00 -1.8388e+00 +6.4783e-01 +6.0850e-01
89601 +2.441540339e+00 +2.441540339e+00 +7.413154034e+01 +7.413154034e+01 -1.4720e-02 -7.5956e-01 -7.3803e-01 +4.0801e-01 -2.2434e+00 -1.1584e+00 +1.1201e+00 +9.7093e-01 -1.7076e+00 -1.4643e-01 +1.0952e-01 -1.0837e+00 -9.2884e-01 +1.4158e+00 +2.3662e-01 +1.3848e-01 -4.4014e-01 +1.7055e+00 +2.5525e-01 +1.7043e+00
155201 +1.506521156e+00 +1.506521156e+00 +7.319652116e+01 +7.319652116e+01 +1.1434e+00 +1.0011e+00 +5.3423e-01 +7.3543e-01 -8.7479e-01 +1.2457e+00 +1.5646e+00 +8.1550e-01 -4.8192e-01 +7.9589e-01 +6.5216e-01 -4.1895e-01 +3.9196e-01 +3.6182e-01 +7.8465e-01 +1.9862e+00 +6.9788e-02 -7.7722e-01 -1.0300e+00 +1.0507e+00
657701 +9.992910163e-01 +9.992910163e-01 +7.268929102e+01 +7.268929102e+01 -1.3871e-02 -7.5993e-01 -7.3803e-01 +4.0858e-01 -2.2441e+00 -1.1565e+00 +1.1201e+00 +9.7115e-01 -1.7068e+00 -1.4844e-01 +1.0922e-01 -1.0837e+00 -9.2842e-01 +1.4158e+00 +2.3637e-01 +1.3884e-01 -4.3858e-01 +1.7058e+00 +2.5513e-01 +1.7034e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.160234084e+01 +5.160234084e+01 +2.656123408e+02 +2.656123408e+02 -2.2960e+00 +4.3446e+00 -4.1102e+00 +7.8347e-02 +1.4587e+00 -6.6598e-01 +3.3889e+00 +3.3663e+00 +3.4853e+00 -2.9854e+00 -1.5734e+00 +9.1769e-01 +3.3409e+00 -1.8242e+00 -8.9906e-02 +3.4366e-01 -3.4004e+00 +1.4570e+00 -4.3604e+00 -1.2945e+00
6 +2.698358442e+01 +2.698358442e+01 +2.409935844e+02 +2.409935844e+02 -1.8135e+00 -3.5278e+00 +3.1893e+00 -2.5550e-01 +1.4507e+00 -2.8523e+00 +3.2180e+00 -1.1474e+00 +4.8386e+00 -1.6252e+00 +3.5909e-01 -4.5938e-01 +1.5329e-01 +2.9395e+00 +3.7787e-01 -1.4669e+00 -3.7531e+00 +3.3987e+00 -3.3402e+00 +2.1676e-02
35 +2.471540766e+01 +2.471540766e+01 +2.387254077e+02 +2.387254077e+02 -1.8006e+00 -4.3345e+00 +4.4087e-01 -1.0620e+00 +5.0059e-01 -4.5487e-02 -2.4120e+00 +8.2977e-03 -2.8214e+00 -4.7526e+00 -2.2662e-01 -3.1435e+00 +3.3894e+00 -1.4939e+00 +3.2014e+00 +2.5521e+00 +3.3449e+00 -4.1833e+00 -2.8225e+00 +1.3556e+00
108 +1.548858938e+01 +1.548858938e+01 +2.294985894e+02 +2.294985894e+02 -1.7370e+00 -1.2160e+00 -8.1844e-01 +6.5900e-01 +1.9066e+00 -5.2092e-01 +8.6187e-01 -1.6709e+00 +2.8764e+00 +2.6013e+00 +3.2626e+00 -1.2584e+00 +2.9983e+00 -3.4798e-01 +4.0308e+00 +2.8147e+00 +1.7043e+00 -2.2047e+00 -3.2843e+00 -5.0014e-01
908 +9.722721236e+00 +9.722721236e+00 +2.237327212e+02 +2.237327212e+02 -1.5943e-02 +1.7231e-01 +6.9341e-01 -8.2831e-01 +1.5503e+00 -1.2281e+00 +2.8945e-01 -1.0255e+00 +4.5356e-01 -2.1123e+00 +2.2780e+00 -6.3902e-01 +1.9634e+00 +1.5352e+00 +8.7628e-02 -5.5821e-01 +2.0062e+00 -1.3157e+00 -5.6003e-01 +7.3894e-01
2015 +6.034206966e+00 +6.034206966e+00 +2.200442070e+02 +2.200442070e+02 +3.3206e-02 +1.1460e+00 -1.8505e-01 +3.1023e-01 +9.7533e-01 +4.4935e-01 -3.0522e-01 -7.7332e-01 +3.0443e-01 -7.7977e-01 +1.4472e+00 -9.7020e-01 -2.8981e-01 -3.7584e-01 +7.1691e-01 +7.1599e-01 -1.3198e+00 -1.3833e+00 +4.9288e-01 -1.6294e+00
36911 +3.879162930e+00 +3.879162930e+00 +2.178891629e+02 +2.178891629e+02 -5.4754e-01 +2.0200e-01 -4.6385e-01 +7.7988e-01 +1.0555e+00 -9.2243e-01 -7.0669e-01 -6.5655e-01 +3.6146e-01 -1.0981e+00 -2.2839e-01 +3.0325e-01 -7.1333e-01 -7.4051e-01 +9.2263e-01 -6.4058e-01 +2.5840e-01 -2.9148e-01 -8.0670e-01 -4.5322e-01
159402 +2.429829800e+00 +2.429829800e+00 +2.164398298e+02 +2.164398298e+02 +5.1757e-01 +9.2786e-02 -9.0064e-01 +1.6975e-02 -6.2046e-02 +3.2380e-01 -6.8263e-01 -1.0748e+00 +1.9424e-01 -1.2036e+00 +7.1829e-01 +1.5865e+00 -1.2326e+00 +8.7371e-01 +6.8711e-01 +1.0732e-01 -9.4873e-01 +1.0182e+00 +5.5205e-01 +2.1064e-01
434801 +1.553428785e+00 +1.553428785e+00 +2.155634288e+02 +2.155634288e+02 +2.1647e-01 -3.9928e-01 +6.5766e-02 -3.4435e-01 +1.0170e+00 +8.4102e-02 -8.5064e-01 -3.0489e-01 +4.3912e-01 -1.9301e+00 -1.7289e-01 +7.9745e-01 -1.4555e+00 -2.4496e+00 -2.2752e-01 +9.2368e-01 +8.5152e-01 -3.9859e-01 -4.3233e-01 -3.2620e-01
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.391976916e+01 +3.391976916e+01 -2.456023084e+01 -2.456023084e+01 +9.7118e-01 -3.3389e+00 -8.2701e-01 -3.1383e+00 +4.0226e+00 +1.3574e+00 +3.4907e+00 -3.7940e+00 -1.4167e+00 +3.2846e+00 -8.4305e-01 -1.8864e+00 -1.6048e+00 -3.0768e-01 -2.1309e+00 -4.1567e+00 -3.7419e+00 +2.3204e+00 -9.2824e-01 +3.4759e+00
24 +2.485804692e+01 +2.485804692e+01 -3.362195308e+01 -3.362195308e+01 -6.7563e-01 +2.8148e+00 -1.5230e+00 -4.2801e+00 -7.5059e-01 +1.4207e+00 +4.2526e-01 -2.0006e+00 -5.4789e-01 -1.0425e+00 +4.9314e+00 -4.4474e+00 -1.5757e-01 +1.9227e+00 +3.6841e+00 -2.8702e+00 +1.0507e+00 +4.9716e+00 -4.2954e+00 +9.1802e-02
