% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2901 +3.557572624e+02 +3.557572624e+02 +4.795872624e+02 +4.795872624e+02 +1.6530e-01 -8.9362e-02 +7.6772e-01 +8.6158e-01 -7.9496e-02 +6.3216e-01 +4.0990e-01 -1.7310e-01 +1.6333e-01 -1.9268e+00 -3.7478e-01 -6.3826e-03 -1.6075e-01 -1.4646e-01 +5.6440e-01 +1.9237e-01 -3.0030e-01 -8.0920e-02 -8.3110e-01 +1.2171e-01
3002 +2.457160692e+02 +2.457160692e+02 +3.695460692e+02 +3.695460692e+02 -3.7804e-02 +6.2672e-02 +1.4434e-01 +1.7927e-01 -8.6435e-01 +1.4892e-01 +5.4357e-01 +6.0860e-01 -5.3428e-01 -1.1230e+00 -1.3647e-01 -9.6458e-02 +1.0900e-01 -5.2815e-02 +7.4936e-01 +3.8797e-01 -6.8412e-01 -4.3378e-01 -2.2164e-01 -2.8681e-01
3707 +1.339165811e+02 +1.339165811e+02 +2.577465811e+02 +2.577465811e+02 -4.6561e-02 +2.8447e-01 +6.8652e-01 +2.5247e-01 -9.6248e-01 +1.3168e-01 +6.9096e-01 +2.2889e-01 +4.7568e-02 -1.2162e+00 +6.1445e-02 -1.2748e-01 -8.1621e-01 -2.5621e-01 +8.5392e-01 +1.6191e-01 -7.0398e-01 +4.7159e-01 -4.9502e-01 -3.9047e-01
4717 +6.665428969e+01 +6.665428969e+01 +1.904842897e+02 +1.904842897e+02 -2.0385e-01 -1.8912e-01 +8.9753e-01 -1.9649e-01 -5.1571e-01 +2.3632e-01 +1.0955e+00 +3.0512e-01 -1.3174e-01 -1.0945e+00 -2.2372e-01 -1.9290e-01 +3.5115e-01 +6.1022e-02 +8.3379e-01 +2.9515e-01 -1.0880e+00 +3.3333e-01 -4.0451e-01 -1.1573e-01
5404 +6.120945800e+01 +6.120945800e+01 +1.850394580e+02 +1.850394580e+02 -3.3152e-02 +3.5717e-01 +3.4647e-01 -1.5524e-02 -6.2121e-01 +3.1900e-01 +7.7584e-01 +1.7968e-01 +1.6012e-01 -8.4589e-01 -7.5641e-02 +1.5224e-01 -1.8143e-01 -6.4565e-02 +4.7955e-01 +4.9451e-01 -6.7064e-01 +7.8309e-02 -2.9915e-01 +5.8121e-02
6007 +3.855837715e+01 +3.855837715e+01 +1.623883771e+02 +1.623883771e+02 -2.0282e-01 +2.0351e-01 +6.7610e-01 +1.5822e-02 -6.0401e-01 +2.7017e-01 +8.3276e-01 +2.5385e-01 +8.9828e-02 -9.7265e-01 +1.5055e-01 -7.6901e-02 -9.8105e-02 +5.4354e-02 +1.0774e+00 +4.9992e-01 -9.5124e-01 +1.4564e-01 -2.5436e-01 +2.0796e-01
7301 +2.397085333e+01 +2.397085333e+01 +1.478008533e+02 +1.478008533e+02 -2.1772e-02 +2.0404e-01 +7.4000e-01 +5.2417e-02 -5.5542e-01 +1.7130e-01 +9.5076e-01 +1.9895e-01 +8.0614e-02 -1.1672e+00 +1.2096e-01 -2.1827e-02 -7.9057e-02 +5.5026e-02 +8.7766e-01 +4.7864e-01 -9.4953e-01 +2.8811e-01 -3.1214e-01 -9.2047e-03
38841 +1.584739704e+01 +1.584739704e+01 +1.396773970e+02 +1.396773970e+02 -1.0140e-01 +4.2154e-01 +8.7402e-01 -2.8111e-01 -3.8952e-01 -1.5918e-01 +3.1996e-01 +7.7521e-02 +2.5350e-02 -6.7287e-01 -1.0210e-01 +4.4908e-01 -3.0797e-01 +2.7542e-01 +5.8823e-01 +6.1193e-01 -1.0027e+00 -1.6953e-01 +3.4729e-01 +1.7725e-01
63101 +9.983520930e+00 +9.983520930e+00 +1.338135209e+02 +1.338135209e+02 -1.8534e-01 +2.3508e-01 +8.5548e-02 -2.0317e-01 +5.0868e-03 -3.1906e-02 +2.8163e-01 +5.2971e-01 +8.0134e-02 +3.7835e-03 -7.2006e-01 +1.0415e+00 -9.3347e-02 -1.7475e-01 -1.7391e-01 +4.5136e-01 -4.8601e-01 +1.4002e-01 +7.2053e-01 +9.0015e-01
77035 +6.305055623e+00 +6.305055623e+00 +1.301350556e+02 +1.301350556e+02 +2.4201e-01 -1.5869e-01 -3.7162e-03 +1.9414e-01 +8.9393e-02 -3.8473e-01 -5.4945e-02 +4.0876e-01 +1.8472e-01 +6.1310e-02 -7.4126e-01 +1.2441e+00 +2.1131e-01 -5.3595e-01 -6.4100e-01 -2.7672e-02 -4.8412e-02 +5.0937e-02 +5.1885e-01 +6.1657e-01
