% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.634755984e+02 +5.634755984e+02 +6.411355984e+02 +6.411355984e+02 +3.7521e+00 -1.1082e+00 -2.3874e+00 +1.1884e+00 +2.4961e+00 -2.3358e+00 +2.6630e+00 -1.8429e-01 +3.6974e-01 -1.9701e+00 +3.9185e+00 -1.0587e+00 +1.1845e+00 -1.2400e+00 -3.4506e+00 +5.1129e-01 -1.5440e+00 -3.6998e+00 -1.0237e+00 -1.9634e+00
77 +3.382123530e+02 +3.382123530e+02 +4.158723530e+02 +4.158723530e+02 +4.0325e-01 -2.6858e+00 +1.9882e+00 +3.0771e+00 +1.1679e-01 -5.1279e+00 -5.8299e-01 -1.8876e+00 +1.8785e+00 -2.5746e+00 +1.1606e+00 +2.5771e-01 -1.5278e+00 -6.5733e-01 -3.5547e+00 +1.4688e+00 +8.1487e-01 -3.5122e+00 +1.4935e+00 -2.5075e+00
205 +2.286204976e+02 +2.286204976e+02 +3.062804976e+02 +3.062804976e+02 +1.2231e+00 -3.6779e+00 -2.7207e+00 +3.5725e+00 -9.5735e-01 -7.1771e-01 +6.9718e-01 -6.5070e-01 +1.8354e+00 -1.7826e+00 +3.5014e+00 -1.9192e-01 +6.5212e-01 -2.1814e+00 -1.8065e+00 +2.4196e+00 +2.0465e-01 -2.7355e+00 +3.5948e+00 -4.5808e+00
591 +1.406368626e+02 +1.406368626e+02 +2.182968626e+02 +2.182968626e+02 +2.3577e+00 -2.0895e+00 -1.9524e+00 +4.0811e+00 -1.8206e+00 +2.5237e-01 +1.2785e+00 +1.3283e-01 -3.1011e-01 -2.6583e+00 +3.1151e+00 +2.1503e-01 +3.2366e-01 -1.4589e+00 -2.4131e+00 +9.2070e-01 -3.6527e-01 -3.0853e+00 +2.2428e+00 -3.0671e+00
2323 +9.930097191e+01 +9.930097191e+01 +1.769609719e+02 +1.769609719e+02 +1.3033e+00 -3.8099e+00 -1.1986e+00 +3.3084e+00 -4.8029e+00 +6.8484e-01 +1.4782e+00 +7.9824e-01 -4.2246e-01 -3.3223e+00 +2.2706e+00 -5.1235e-01 -2.3205e-01 -2.0990e+00 -3.2949e+00 +1.3695e+00 -6.5358e-01 -3.1649e+00 +3.5060e+00 -3.5862e+00
2390 +5.809048752e+01 +5.809048752e+01 +1.357504875e+02 +1.357504875e+02 +1.4342e+00 -3.7182e+00 -1.3259e+00 +3.2947e+00 -4.7795e+00 +8.2229e-01 +1.3804e+00 +9.4688e-01 -4.6351e-01 -3.3494e+00 +2.4161e+00 -4.0141e-01 -1.6538e-01 -1.9775e+00 -3.1851e+00 +1.3532e+00 -6.4841e-01 -3.0949e+00 +3.5081e+00 -3.7456e+00
3364 +3.975190880e+01 +3.975190880e+01 +1.174119088e+02 +1.174119088e+02 +1.4045e+00 -3.7612e+00 -1.2717e+00 +3.3246e+00 -4.8881e+00 +9.4175e-01 +1.3049e+00 +8.1681e-01 -5.0520e-01 -3.3101e+00 +2.3806e+00 -3.7184e-01 -1.7478e-01 -2.0512e+00 -3.2318e+00 +1.3562e+00 -6.6237e-01 -3.0916e+00 +3.4755e+00 -3.7607e+00
12073 +2.505016253e+01 +2.505016253e+01 +1.027101625e+02 +1.027101625e+02 +2.4159e+00 -2.6861e+00 -2.9060e+00 +3.3289e+00 -1.7586e+00 +2.7745e-01 -6.9337e-01 -5.8066e-01 -4.9468e-01 -3.2937e+00 +2.4042e+00 +1.3486e-01 +8.0402e-01 -2.0397e+00 -3.2303e+00 +1.3569e+00 +1.4651e-01 -2.7499e+00 +2.7616e+00 -3.4521e+00
433070 +1.560080788e+01 +1.560080788e+01 +9.326080788e+01 +9.326080788e+01 +2.3714e+00 -1.8114e+00 -2.2021e+00 +4.2191e+00 -3.3095e+00 +2.5537e-01 -1.4604e-01 +1.0719e-01 -5.2094e-01 -3.8263e+00 +2.3820e+00 -3.7310e-01 +2.8798e-01 -2.0467e+00 -3.2437e+00 +1.8177e+00 -6.5896e-01 -2.3403e+00 +2.7679e+00 -3.4519e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.520085648e+03 +1.520085648e+03 +1.635765648e+03 +1.635765648e+03 -2.5992e+00 -2.8936e-01 -1.5143e+00 -2.0578e+00 +1.8246e+00 -1.5792e+00 +4.6387e-01 -1.4893e+00 -4.9788e-01 -1.0768e+00 +3.3809e+00 +3.1534e+00 +7.1324e-01 -8.2298e-01 +1.8735e+00 -3.6496e+00 -1.8004e+00 -1.5427e+00 +3.7794e-02 +1.2898e+00
40 +8.527707449e+02 +8.527707449e+02 +9.684507449e+02 +9.684507449e+02 -3.2961e+00 +1.2571e+00 -1.2487e+00 -5.2250e+00 +2.4531e+00 -2.2826e+00 +1.4324e+00 +2.0330e+00 -2.0664e+00 -8.3245e+00 +3.6618e-01 -8.5950e-01 -2.2256e+00 +1.1034e+00 -1.5019e+00 -2.7612e+00 -1.3773e+00 -9.0125e-02 +1.2428e+00 -1.6990e+00
73 +6.194414838e+02 +6.194414838e+02 +7.351214838e+02 +7.351214838e+02 -2.8431e+00 -1.5889e+00 -3.1893e+00 -1.5657e+00 +1.0758e-02 +1.4567e-01 +2.8242e+00 -9.7229e-01 -4.7836e+00 -3.7024e+00 +1.5298e+00 -2.6469e-01 -4.6784e+00 +1.1822e+00 -1.8018e+00 -2.9108e+00 +7.4006e-01 +2.9100e+00 +2.1723e+00 -1.3619e+00
179 +3.857935754e+02 +3.857935754e+02 +5.014735754e+02 +5.014735754e+02 -1.2779e+00 -8.0126e-01 -5.6463e+00 +9.0512e-01 -2.6265e+00 -2.9910e+00 -1.4058e+00 -1.3145e+00 -4.9968e+00 -1.3916e+00 +8.2278e-01 -2.3041e+00 -3.2811e+00 -1.0585e+00 -2.4911e+00 -3.4609e+00 +2.5982e-01 +3.4917e+00 +3.1395e+00 +6.4523e-01
356 +2.345642692e+02 +2.345642692e+02 +3.502442692e+02 +3.502442692e+02 -1.3156e+00 -8.1059e-03 -3.2625e+00 -1.3154e+00 -3.5321e+00 -5.2861e+00 -3.0765e+00 +9.4940e-01 -3.4774e+00 -4.4384e+00 +3.2945e+00 -2.8965e+00 -1.8710e+00 -1.2555e-01 -2.9807e+00 +6.0069e-01 +3.5380e-01 +4.6054e+00 +4.1949e+00 -6.1211e-01
830 +1.456269484e+02 +1.456269484e+02 +2.613069484e+02 +2.613069484e+02 -2.4075e+00 -2.1150e+00 -6.7625e-01 +2.1797e+00 -2.1500e+00 -4.1595e+00 -3.4960e+00 +1.1525e+00 -5.0651e+00 -2.8142e+00 +3.7520e+00 -1.8030e+00 -4.4556e+00 +2.4737e-01 -2.7996e+00 +3.5570e-01 -4.6269e-01 +3.0914e+00 +3.1490e+00 -8.8218e-01
2391 +9.249015057e+01 +9.249015057e+01 +2.081701506e+02 +2.081701506e+02 -2.1377e+00 -3.7466e+00 -6.0980e-01 +2.2602e+00 -2.9214e+00 -2.5192e+00 -4.1333e+00 +2.2184e+00 -5.6653e+00 -2.5355e+00 +2.6718e+00 -2.3044e+00 -3.9070e+00 +6.9209e-01 -2.0510e+00 +1.4992e-01 -1.4851e+00 +3.4352e+00 +4.0903e+00 -6.1639e-01
2534 +6.212523715e+01 +6.212523715e+01 +1.778052371e+02 +1.778052371e+02 -2.2373e+00 -3.8156e+00 -6.3896e-01 +2.2445e+00 -2.8063e+00 -2.5788e+00 -4.2582e+00 +2.2478e+00 -5.7089e+00 -2.5356e+00 +2.6903e+00 -2.2993e+00 -3.8493e+00 +6.8573e-01 -2.0214e+00 +1.5001e-01 -1.5568e+00 +3.4758e+00 +4.1577e+00 -5.4495e-01
10285 +3.892398726e+01 +3.892398726e+01 +1.546039873e+02 +1.546039873e+02 -1.1904e+00 +1.7344e+00 -1.4175e+00 +2.2320e+00 -2.7431e+00 -1.7924e+00 -2.3124e+00 +2.3707e+00 -4.5959e+00 -1.3826e+00 +2.7162e+00 -1.7740e+00 -3.3942e+00 +6.7733e-01 -2.4880e+00 +1.2271e-01 -1.3395e-02 +3.4958e+00 +2.7170e+00 -5.3956e-01
33310 +2.508254955e+01 +2.508254955e+01 +1.407625495e+02 +1.407625495e+02 -2.1771e+00 -1.9179e-02 -6.7496e-01 +3.0848e+00 -4.4341e+00 -4.0332e+00 -2.3118e+00 +2.3463e+00 -3.3394e+00 -1.9453e+00 +2.6938e+00 -3.3147e+00 -2.8730e+00 +2.2882e-01 -2.4812e+00 +1.0507e-01 -6.4785e-03 +3.5052e+00 +4.1640e+00 -5.4554e-01
453880 +1.583474502e+01 +1.583474502e+01 +1.315147450e+02 +1.315147450e+02 -3.1665e+00 -1.9402e+00 +2.4790e-01 +2.2045e+00 -1.9620e+00 -3.2552e+00 -4.3244e+00 +1.6624e+00 -4.5736e+00 -1.9563e+00 +3.2771e+00 -1.7749e+00 -3.8642e+00 +6.6158e-01 -2.0623e+00 +1.0586e-01 -6.2216e-03 +4.2643e+00 +3.4310e+00 -9.1464e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.128078947e+03 +2.128078947e+03 +2.124368947e+03 +2.124368947e+03 +4.5479e-02 +3.3939e+00 +1.3658e-01 +8.5644e-01 -2.5643e+00 +3.7047e+00 -2.1642e+00 +1.4560e+00 -7.7822e-01 +1.5150e+00 -2.1902e+00 +1.7590e+00 -2.8614e+00 +1.8067e+00 -2.6194e+00 -2.6239e+00 -3.0274e+00 +9.7647e-01 -1.7406e+00 +1.6894e+00
15 +1.497180931e+03 +1.497180931e+03 +1.493470931e+03 +1.493470931e+03 +2.3053e-01 +2.4168e+00 -2.4374e-01 +1.2590e+00 -2.0062e-01 +7.0137e+00 -2.5691e+00 +1.0403e+00 +1.5208e+00 -9.4772e-01 -1.9211e+00 +4.0627e+00 -2.3443e+00 +1.5872e+00 -9.0247e-01 -3.8358e+00 -1.7090e+00 -1.3303e+00 -1.0246e+00 +6.3070e-01
27 +9.572032741e+02 +9.572032741e+02 +9.534932741e+02 +9.534932741e+02 +8.5098e-01 +3.9109e+00 +2.0212e+00 +1.3004e-01 -1.4191e+00 +2.3837e+00 -1.3802e+00 +3.9304e+00 +5.1046e-01 +1.3658e+00 -1.3934e+00 +5.7184e-01 +1.6631e+00 -1.2757e+00 -2.6227e+00 -1.2104e+00 -3.9287e+00 +9.7294e-02 +2.1801e+00 -1.2775e+00
51 +5.885325854e+02 +5.885325854e+02 +5.848225854e+02 +5.848225854e+02 -3.6096e-01 -1.0836e-01 +9.1290e-01 -2.8203e+00 +2.0268e+00 +7.3033e+00 -2.7978e+00 +1.1045e+00 -2.5001e-01 +3.7723e-01 +2.1987e+00 +1.5443e+00 +1.4373e+00 +3.0503e-02 -2.9534e+00 -1.1276e+00 +1.2963e+00 +1.0243e+00 +2.1636e+00 -3.9084e+00
186 +3.452040300e+02 +3.452040300e+02 +3.414940300e+02 +3.414940300e+02 -3.2009e-01 -1.7075e+00 +5.4469e-01 +3.5589e+00 +3.4577e+00 +5.1408e+00 -1.5226e+00 -2.7695e+00 -3.7754e+00 +5.5272e-02 +5.4672e+00 +9.1549e-01 +3.2890e+00 -2.2365e+00 -8.1999e-01 -4.3429e+00 +3.9261e-01 +3.4747e+00 +4.5768e+00 -2.7030e+00
315 +2.222494531e+02 +2.222494531e+02 +2.185394531e+02 +2.185394531e+02 -1.3787e+00 -2.1925e+00 +2.1115e+00 +3.9987e+00 +3.0234e+00 +3.7713e+00 -2.0292e+00 -2.7203e+00 -2.9509e+00 -9.4866e-01 +3.7519e+00 +2.9231e+00 +2.6845e+00 -8.9655e-01 -6.1287e-02 -3.2083e+00 +1.3056e+00 +2.4830e+00 +4.3752e+00 -2.3743e+00
736 +1.266118387e+02 +1.266118387e+02 +1.229018387e+02 +1.229018387e+02 +1.0045e+00 -2.4950e+00 +3.5830e-01 +4.8106e+00 +3.8613e+00 +4.6174e+00 -1.2516e+00 -2.1297e+00 -3.0873e+00 -1.1715e-01 +2.8647e+00 +1.6731e+00 +3.6731e+00 -2.6616e+00 +6.5158e-02 -3.2017e+00 +1.4658e+00 +1.5566e+00 +3.9148e+00 -3.1697e+00
1535 +9.888263317e+01 +9.888263317e+01 +9.517263317e+01 +9.517263317e+01 +1.1892e+00 -3.1945e+00 -8.8394e-01 +3.8556e+00 +3.8322e+00 +3.7117e+00 -1.7719e+00 -2.6528e+00 -3.0548e+00 +1.3435e+00 +3.8362e+00 +1.5559e+00 +3.1539e+00 -2.7115e+00 +1.1006e-01 -3.1907e+00 +7.3369e-01 +1.4615e+00 +4.0248e+00 -2.7514e+00
1737 +6.236995466e+01 +6.236995466e+01 +5.865995466e+01 +5.865995466e+01 +1.0480e+00 -3.1952e+00 -8.9209e-01 +3.8591e+00 +3.8396e+00 +3.5889e+00 -1.8965e+00 -2.7283e+00 -3.0011e+00 +1.3331e+00 +3.7368e+00 +1.6125e+00 +3.0818e+00 -2.7250e+00 +7.7933e-02 -3.2733e+00 +6.7860e-01 +1.5286e+00 +3.9738e+00 -2.8368e+00
2380 +3.980624489e+01 +3.980624489e+01 +3.609624489e+01 +3.609624489e+01 +1.0831e+00 -3.2515e+00 -9.5932e-01 +3.9112e+00 +4.0130e+00 +3.6611e+00 -1.9142e+00 -2.7112e+00 -3.0184e+00 +1.2314e+00 +3.7453e+00 +1.5794e+00 +3.1229e+00 -2.6661e+00 +9.7771e-02 -3.2740e+00 +6.9425e-01 +1.5314e+00 +3.9397e+00 -2.8525e+00
46843 +2.466627085e+01 +2.466627085e+01 +2.095627085e+01 +2.095627085e+01 +4.1048e+00 +4.5995e-01 +1.8032e+00 +3.8961e+00 +2.3203e+00 +2.3382e+00 +1.4075e-01 -1.3463e+00 -2.3259e+00 +6.7288e-01 +3.2076e+00 +1.0596e+00 +3.6043e+00 -1.7287e+00 +1.0680e-01 -3.2664e+00 +1.1447e+00 +1.9379e+00 +3.2296e+00 -3.5144e+00
494842 +1.577878666e+01 +1.577878666e+01 +1.206878666e+01 +1.206878666e+01 +3.1343e+00 -2.3062e+00 +8.7226e-01 +3.9442e+00 +3.9908e+00 +2.3292e+00 +9.1525e-01 -1.9662e+00 -1.7354e+00 +6.3397e-02 +3.7543e+00 +1.5701e+00 +3.1213e+00 -1.2406e+00 +7.7457e-02 -3.2702e+00 +1.5043e+00 +1.9465e+00 +3.9459e+00 -3.2197e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.910501885e+02 +9.910501885e+02 +1.123230188e+03 +1.123230188e+03 +1.2335e+00 +2.4105e-01 +1.9519e+00 -1.4265e+00 +1.7096e+00 +2.8014e+00 +4.7296e-01 -2.3465e+00 +2.4737e+00 +2.8683e+00 -1.2338e+00 -2.5245e+00 +1.3836e+00 +1.8684e-02 -2.7255e+00 +1.1690e+00 -2.3009e+00 -8.3473e-01 -3.3201e+00 +3.3802e+00
44 +5.431598452e+02 +5.431598452e+02 +6.753398452e+02 +6.753398452e+02 +5.0133e+00 -4.6634e+00 +1.8740e+00 -5.7130e+00 -8.4605e-01 +1.4106e-01 -2.4950e+00 -3.7855e+00 +2.1214e+00 +1.4690e+00 +3.4473e+00 -1.4062e-01 +1.5268e+00 +2.9044e+00 -2.2110e+00 +5.0781e+00 +1.6269e+00 +3.5433e+00 -2.4195e+00 +1.2458e+00
98 +3.943843150e+02 +3.943843150e+02 +5.265643150e+02 +5.265643150e+02 +7.5213e-01 -1.1526e+00 +2.6332e+00 +9.6345e-01 -2.4738e+00 +8.0047e-01 -1.2461e+00 +7.5820e-01 +5.2738e-01 -9.7198e-01 -9.3194e-02 -6.0160e-02 -7.2193e-01 +1.6371e+00 -4.1963e+00 +3.2353e+00 +2.5942e+00 +1.9940e+00 -2.7589e+00 +1.3924e+00
267 +2.319400308e+02 +2.319400308e+02 +3.641200308e+02 +3.641200308e+02 -7.4737e-01 +3.2122e-01 +1.8026e+00 +9.0503e-01 -5.1052e+00 -5.2325e-01 -5.1684e+00 -5.6717e-01 -1.6955e+00 +1.2884e-01 +8.2592e-01 +2.8276e+00 +4.4664e-01 +1.6111e+00 -3.5633e+00 +3.5747e+00 +6.1770e-01 +2.4377e+00 -1.4435e+00 +1.0567e+00
583 +1.468381388e+02 +1.468381388e+02 +2.790181388e+02 +2.790181388e+02 -2.7904e+00 +3.9393e+00 +3.8231e+00 -3.4042e+00 -2.3418e+00 -1.1260e+00 -2.1098e+00 +5.6953e-01 +3.5246e-01 +5.0323e-01 +7.4454e-01 +1.9050e+00 -1.7209e+00 +2.6785e+00 -3.5349e+00 +2.3276e+00 +1.7481e+00 +3.5232e+00 -1.3757e+00 +3.7743e-01
2085 +9.346145009e+01 +9.346145009e+01 +2.256414501e+02 +2.256414501e+02 -2.8017e+00 +3.4353e+00 +3.3159e+00 -3.4912e+00 -1.8039e+00 -3.0561e-01 -2.3219e+00 +7.2759e-01 +1.3249e+00 +9.4144e-01 -3.5996e-01 +3.0226e+00 -9.0370e-01 +3.2521e+00 -3.9302e+00 +2.3796e+00 +1.6185e+00 +3.3571e+00 -7.2599e-01 +1.3785e+00
2304 +5.828376931e+01 +5.828376931e+01 +1.904637693e+02 +1.904637693e+02 -2.7584e+00 +3.3528e+00 +3.4090e+00 -3.4759e+00 -1.6861e+00 -2.0669e-01 -2.4186e+00 +6.9404e-01 +1.5213e+00 +9.7703e-01 -3.1309e-01 +3.0950e+00 -1.0119e+00 +3.1926e+00 -3.9733e+00 +2.4154e+00 +1.3572e+00 +3.0894e+00 -9.7272e-01 +1.4329e+00
2405 +3.927568588e+01 +3.927568588e+01 +1.714556859e+02 +1.714556859e+02 -2.7445e+00 +3.4166e+00 +3.4036e+00 -3.4528e+00 -1.6768e+00 -3.4781e-01 -2.3666e+00 +7.4950e-01 +1.5188e+00 +9.6207e-01 -2.2313e-01 +3.0664e+00 -1.0470e+00 +3.2721e+00 -3.9822e+00 +2.3234e+00 +1.3275e+00 +3.0879e+00 -1.0132e+00 +1.4206e+00
2792 +2.508866178e+01 +2.508866178e+01 +1.572686618e+02 +1.572686618e+02 -2.7751e+00 +3.4098e+00 +3.4580e+00 -3.4898e+00 -1.6385e+00 -2.8278e-01 -2.2948e+00 +7.3541e-01 +1.5096e+00 +9.6455e-01 -2.6713e-01 +3.0356e+00 -9.6944e-01 +3.2845e+00 -4.0134e+00 +2.3442e+00 +1.3008e+00 +3.1136e+00 -9.8924e-01 +1.4243e+00
% function evaluation | noise-free fitness - Fopt (2.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.309430310e+03 +2.309430310e+03 +2.331120310e+03 +2.331120310e+03 +1.5679e+00 -4.1893e-01 +1.4249e+00 -1.1002e+00 -1.1688e+00 -9.4486e-01 +3.4439e+00 +1.2943e+00 -3.7738e+00 +2.6795e+00 -1.4800e+00 -4.2028e-01 +2.7721e+00 +1.3232e+00 -1.2104e+00 +9.7551e-01 +1.0155e-01 +2.1449e+00 -3.3195e+00 +2.8090e+00
5 +1.574890590e+03 +1.574890590e+03 +1.596580590e+03 +1.596580590e+03 +4.1237e+00 -2.6405e+00 +1.0380e+00 -1.9930e+00 -1.9486e+00 -1.9737e+00 +1.9358e+00 +3.7660e+00 -4.2372e+00 +3.3209e+00 +7.5887e-01 +3.1206e+00 +3.4942e+00 +2.9953e+00 -1.0468e+00 +1.6462e+00 -5.4887e+00 -2.5657e+00 -9.8677e-01 +2.2260e+00
16 +6.776949210e+02 +6.776949210e+02 +6.993849210e+02 +6.993849210e+02 +4.2709e+00 -4.1723e-01 -1.7640e+00 +1.5252e+00 -3.1676e+00 -2.4203e+00 +1.7217e+00 +2.7250e-01 -4.7461e+00 +2.2805e+00 -7.7396e-02 +5.1401e-02 +5.0858e+00 +1.7292e-01 -4.7397e+00 +2.6578e-01 -1.3042e-02 -2.2977e+00 -3.3443e+00 +4.3732e+00
