% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.200536096e+05 +1.200536096e+05 +1.195071096e+05 +1.195071096e+05 +4.1110e+00 +7.3689e-01 -1.6307e+00 +8.3734e-01 -4.0885e+00 +2.8431e+00 -4.8734e+00 -3.1179e+00 -4.4540e+00 -1.5584e+00 +4.8435e+00 +4.2266e+00 -4.5920e-01 -4.8536e-01 +4.6732e+00 +4.6030e+00 -1.3253e+00 -4.0751e+00 -1.5050e+00 +1.7932e+00
7 +8.728023929e+04 +8.728023929e+04 +8.673373929e+04 +8.673373929e+04 -8.4240e-01 -3.3525e+00 +4.0330e+00 +2.1506e+00 +2.3195e+00 -2.4529e+00 -2.8953e+00 +1.8825e+00 +4.2487e-01 -2.1169e-01 +4.4859e+00 +5.4108e-01 +2.1269e+00 -3.8362e+00 -2.4497e-01 +4.4865e+00 +3.8790e+00 +1.5152e+00 -2.8008e+00 +2.4652e+00
16 +6.285199273e+04 +6.285199273e+04 +6.230549273e+04 +6.230549273e+04 +2.8312e+00 -3.8007e+00 -1.1907e+00 -1.1691e+00 +3.6937e+00 +7.6979e-01 +9.9907e-01 -3.9259e+00 -2.0471e+00 -3.0120e+00 +4.7101e+00 +3.5248e+00 +1.5115e+00 +1.4476e+00 +1.5385e+00 +1.4643e-01 +1.8844e+00 +4.2830e-01 -4.7140e+00 +3.1448e+00
103 +2.940204049e+04 +2.940204049e+04 +2.885554049e+04 +2.885554049e+04 -2.1667e-01 +1.4515e+00 -1.9293e+00 -1.5613e-01 +7.2500e-01 +3.2047e+00 +9.2399e-03 +4.6049e+00 -2.6409e+00 +3.3277e-01 -1.8264e+00 +1.9934e+00 -6.6892e-01 -4.3860e-01 -1.7730e+00 -2.1340e-02 +1.9045e-01 -1.3909e+00 -2.0552e+00 +1.5427e+00
120 +2.159558792e+04 +2.159558792e+04 +2.104908792e+04 +2.104908792e+04 -1.8463e+00 +3.0631e+00 +1.7845e+00 -4.1328e+00 +1.3445e+00 -9.2963e-01 -8.0456e-01 +8.8310e-01 +1.6516e-01 +1.5071e-01 -1.1029e-01 +1.7393e+00 -2.1456e-01 -4.7220e+00 +6.3850e-02 -2.1679e+00 +9.3328e-01 +1.2800e+00 -3.3192e+00 +8.4746e-01
205 +1.578400605e+04 +1.578400605e+04 +1.523750605e+04 +1.523750605e+04 -2.1667e-01 +3.7131e+00 -1.9293e+00 -4.0799e-01 +7.2500e-01 +3.2047e+00 -2.9813e-01 +7.4902e-01 -2.6409e+00 +3.3277e-01 -1.9765e+00 +2.3430e+00 -6.6892e-01 +3.0547e-01 +3.7410e+00 +5.6458e-01 +1.9045e-01 -1.3909e+00 -2.0552e+00 +2.2017e+00
502 +4.715231821e+03 +4.715231821e+03 +4.168731821e+03 +4.168731821e+03 -5.8031e-01 +3.7131e+00 +1.8110e+00 +6.2733e-03 -2.6821e-02 +3.4610e-01 -2.9813e-01 +1.4271e+00 -2.1455e+00 +1.5123e-01 +3.7678e+00 +2.6632e+00 -8.6908e-01 -5.9594e-01 +2.7531e+00 +5.6458e-01 +6.4577e-01 -6.5732e-01 -2.0552e+00 +1.8701e+00
902 +2.295732193e+03 +2.295732193e+03 +1.749232193e+03 +1.749232193e+03 -2.7985e+00 +8.6948e-01 +2.8749e+00 -3.1327e+00 +2.6842e+00 +1.2247e-01 -3.0235e+00 +1.8631e+00 +8.3376e-01 +5.6866e-02 +1.9925e+00 +1.8876e-01 +2.8220e+00 -1.6724e+00 +2.0746e+00 -5.5079e-01 +2.5413e+00 -1.0505e+00 -1.7015e+00 +1.2487e-01
1008 +1.050292889e+03 +1.050292889e+03 +5.037928891e+02 +5.037928891e+02 +1.2167e-02 +1.9995e+00 -1.8168e-02 +6.5477e-01 -1.5738e+00 -4.1428e+00 -1.1866e+00 -4.8344e-01 -5.5190e-01 +2.2241e-01 +1.9410e+00 -5.5849e-01 +2.3404e+00 -4.3189e-04 +1.4752e+00 -9.6269e-01 +1.7485e+00 -9.0047e-01 -1.7497e+00 +1.0756e+00
1404 +3.357269613e+02 +3.357269613e+02 -2.107730387e+02 -2.107730387e+02 +1.5237e+00 +5.0496e-01 -1.7801e-01 +2.6336e-01 +3.3141e+00 -1.0964e+00 +2.6139e-01 +2.2746e+00 -8.4197e-01 +6.1808e-02 +1.5845e+00 -5.5168e-01 +2.2365e+00 -2.3248e-01 +1.3986e+00 -1.2136e+00 +1.0067e+00 -2.2558e+00 -8.7872e-01 +2.0876e+00
