% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.200567580e+07 +1.200567580e+07 +1.200562086e+07 +1.200562086e+07 -1.3122e+00 +1.6062e+00 +1.4692e+00 -1.2341e+00 +4.0195e+00 +2.1177e-01 +4.4893e+00 +2.9267e+00 -1.2142e+00 +1.1572e+00
2 +5.742064235e+06 +5.742064235e+06 +5.742009295e+06 +5.742009295e+06 +1.2287e+00 -5.4251e-01 +2.5610e+00 -4.4692e+00 +1.4319e-01 +4.3867e+00 -4.5097e+00 +4.5930e+00 -1.9258e+00 +2.0650e+00
3 +7.137079871e+05 +7.137079871e+05 +7.136530471e+05 +7.136530471e+05 -3.7380e+00 -7.8812e-01 +4.3103e+00 -1.0884e+00 +1.0535e+00 +1.6003e+00 -3.7060e+00 -2.3704e+00 -7.9080e-01 -3.7110e+00
53 +2.618006851e+05 +2.618006851e+05 +2.617457451e+05 +2.617457451e+05 -1.7109e+00 +3.2591e-01 +1.0671e-01 +2.1870e-01 +2.3424e+00 +2.5547e+00 -4.9802e+00 +6.6472e-01 +4.8251e-02 +2.9112e+00
189 +8.648354697e+04 +8.648354697e+04 +8.642860697e+04 +8.642860697e+04 -8.4234e-01 +2.9782e-01 +1.6500e+00 -5.5566e-01 +1.3739e+00 +1.8306e+00 -5.3824e+00 -1.2593e+00 +1.9060e+00 +1.4977e+00
879 +4.685013675e+04 +4.685013675e+04 +4.679519675e+04 +4.679519675e+04 -1.9002e+00 -1.1715e+00 +6.8266e-01 +9.4174e-01 +3.9116e+00 +1.3240e+00 -3.1624e+00 -2.7464e+00 +4.5876e-01 +9.9231e-01
1303 +3.789962355e+04 +3.789962355e+04 +3.784468355e+04 +3.784468355e+04 +6.9767e-01 -1.2523e+00 +1.3235e+00 +1.1621e+00 +3.1285e+00 +1.6870e+00 -2.6001e+00 -2.7791e+00 +3.1396e-02 +2.1196e+00
1852 +2.289434305e+04 +2.289434305e+04 +2.283940305e+04 +2.283940305e+04 -5.6227e-01 -1.3007e-01 -2.0646e-01 -5.8313e-01 +3.5477e+00 +3.4383e+00 -3.3556e+00 +2.4541e-01 +1.5789e+00 +2.4112e+00
2102 +1.410260697e+04 +1.410260697e+04 +1.404766697e+04 +1.404766697e+04 -8.5805e-01 +1.2962e-01 +8.9349e-01 -4.7514e-01 +3.4857e+00 +1.4953e+00 -4.1800e+00 -2.1485e+00 +1.7236e+00 +1.3266e+00
3020 +5.954419873e+03 +5.954419873e+03 +5.899479873e+03 +5.899479873e+03 -1.3497e-01 +1.5227e-01 -5.1664e-01 +4.2724e-03 +3.0645e+00 +2.2017e+00 -4.3081e+00 +2.8535e-01 +1.3446e+00 +4.0351e+00
